Cluster	b1_WT_rep1	b1_WT_rep2	b2_WT_rep1	b1_clsy12	b2_clsy12	b1_clsy3	b2_clsy3	b1_clsy4	b2_clsy4	b1_clsy34	b2_clsy34	b1_pol_iv	b2_pol_iv	b1_rim22_3	b2_rim22_3	b2_rim22_2	b1_rim22_2
merged_4_6767187	15.89	15.45	16.07	0.34	0.97	28.14	25.61	23.46	12.65	35.79	24.37	0.38	0.25	20.14	17.77	13.87	15.92
merged_3_14545032	2	2.1	1.56	1.76	1.02	2.29	1.5	2.17	1.17	1.1	1.35	0.39	0.3	2.39	2.81	2.05	1.97
merged_2_1135204	18.03	21.14	8.13	1.54	0.14	26.56	15.78	20.5	12.29	36.03	22.87	1.45	0.14	18.98	9.8	7.49	13.74
merged_3_23130733	68.55	32.43	43.87	0	0.95	0.45	0	4.82	21.04	0.18	0.16	0	0	1.79	0.14	2.79	0.14
merged_2_5830136	3.93	4.21	2.74	0.69	0.25	5.04	4.27	3.82	2.23	5.18	2.57	0.24	0	6.15	3.7	2.69	4.71
merged_1_13190464	5.5	6.85	4.56	0	0	13.84	8.89	6.8	3.67	15.48	6.83	0	0	5.52	7.35	5.24	4.55
merged_1_16430394	26.34	9.77	13.05	0.78	0.86	46.47	27.1	48.05	24.89	97.23	75.94	1.6	0.36	31.75	20.85	11.7	17.5
merged_5_15811814	12.62	9.67	2.71	2.23	1.41	19.92	7.41	7	2.09	10.93	3.68	0.22	0.45	15.86	7.41	6.39	13.39
merged_4_6156240	6	5.27	3.55	0.67	0.96	9.91	8.59	8.93	5.31	12.47	10.65	0.56	0.05	10.67	5.66	6.41	9.11
merged_1_7809531	19.68	20.84	14.57	26.74	19.38	7.95	5.57	13.72	12.3	0.7	0	0	0.15	14	6.65	20.44	14.59
merged_3_22615656	13.08	18.76	11.53	0.29	0.18	40.36	19.27	30.09	18.58	76.1	41.49	1.07	0.18	39.47	12.68	21.04	23.26
merged_1_16984748	44.37	50.38	41.89	82.56	67.95	34.46	41.5	17.68	15.04	4.03	2.7	0.97	0.74	71.83	49.49	59.49	124.14
merged_5_11763754	1.45	1.19	1.56	1.29	1.16	2.61	1.75	1.09	0.72	1.01	0.34	0.08	0	2.25	1.29	0.67	2.21
merged_5_11799761	11.37	11.42	11.96	15.83	16.03	7.86	8.69	10.13	9.2	1.89	1.7	0.38	0.1	11.14	19.03	12.48	13.88
merged_3_5683074	40.93	41.27	30.57	54.58	40.51	17	13.91	48.1	29.04	13.6	9.61	1.11	0.12	5.42	3.27	4.02	6.87
merged_5_15599454	29.77	18.31	17.9	35.37	35.29	2.1	1.14	29.72	17.51	0.26	0.11	0.75	0	4.1	1.62	1.14	2.71
merged_5_12762613	2.56	2.63	2.2	1.86	2.03	2.61	3.29	2.15	1.55	2.21	1.96	0.08	0.05	2.19	2.62	1.77	2.94
